id,content,user,parentFeedback
7b199afc-d3f0-4fe6-8d08-a257020ebc2a,"Please use fun, color-coded labels to easily identify them at a glance",0b18a141-c89b-45f7-8b72-99ef98018f90,954ef564-3284-4fce-912e-b349e8c374df
27e69120-e431-45c0-be17-8c7283e033b0,"Also, please allow styles to be applied based on system preferences. I would love to be able to browse Frontend Mentor in the evening after my device’s dark mode turns on without the bright background it currently has.",3031326a-8dfe-4986-81b3-a8b532f6564c,ce684d50-7ee2-4fdb-9459-3e494475c6e5
d406a1d5-a51c-4c14-87ae-fd6300460f33,Second this! I do a lot of late night coding and reading. Adding a dark theme can be great for preventing eye strain and the headaches that result. It’s also quite a trend with modern apps and  apparently saves battery life.,fec022f2-40bb-43e4-bd1a-36b9a28d224d,ce684d50-7ee2-4fdb-9459-3e494475c6e5
d3cc0358-bf7c-438c-bb4a-e3b3776fd2ff,"Much easier to get answers from devs who can relate, since they''ve either finished the challenge themselves or are in the middle of it.",1d588ced-273f-47c6-98a7-7127db380177,f74b00bf-1a24-408e-a112-c3563b8e0bda
75e11bdb-be62-40ff-ac2e-4ad4d0441e23,"Right now, there is no ability to add images while giving feedback which isn''t ideal because I have to use another app to show what I mean",1a4a0e7b-b250-4de5-a459-d042f30a1aeb,98f7fe01-251d-4d72-82dc-f44710f4feae
f4e14def-6c39-4b3f-ab0f-b8ce93a639dc,Yes I'd like to see this as well. Sometimes I want to add a short video or gif to explain the site's behavior..,657f739f-d5ae-4862-adc0-565db720d8de,98f7fe01-251d-4d72-82dc-f44710f4feae
5f7dbc15-c629-4a81-8b2d-2ecd8f16bb72,I also want to be notified when devs I follow submit projects on FEM. Is in-app notification also in the pipeline?,43a6ebb9-a002-4d62-bfa0-9e3be6aee21d,49c2370a-45fc-4f2f-b1dc-59327ad17276
071b2e4f-4f8b-4f12-9bc5-8fb8efbf32e2,I've been saving the profile URLs of a few people and I check what they’ve been doing from time to time. Being able to follow them solves that,5137bd54-b637-4546-a299-44ba6428520c,49c2370a-45fc-4f2f-b1dc-59327ad17276
cff946c6-88e9-43a3-a90f-7566743d8d51,This would be awesome! It would be so helpful to see an overview of my code in a way that makes it easy to spot where things could be improved.,43a6ebb9-a002-4d62-bfa0-9e3be6aee21d,7fa48ce7-14f1-4287-8a49-4a808f5f3662
e485b846-588c-4d19-9ab0-e7db2b413287,"Yeah, this would be really good. I''d love to see deeper insights into my code!",5137bd54-b637-4546-a299-44ba6428520c,7fa48ce7-14f1-4287-8a49-4a808f5f3662
f9bea26d-7e3e-40f8-b259-43e976afc62e,Having a path through the challenges that I could follow would be brilliant! Sometimes I'm not sure which challenge would be the best next step to take. So this would help me navigate through them!,1d588ced-273f-47c6-98a7-7127db380177,b9db491f-01ed-498b-8060-7396aba9878f
e69be6f0-c353-489d-9a4c-e1bc0102f796,"I haven''t built a portfolio site yet, so this would be really helpful. Might it also be possible to choose layout and colour themes?!",a9b76af0-d74b-422d-a91b-23cb02a5cc55,33516cc2-2ff0-44c8-b402-11cc27deed2d
c39039cb-a8ce-4d6e-bf6c-6b0babc728bb,"This would be great! At the moment, I''m just starting challenges in order to save them. But this means the My Challenges section is overflowing with projects and is hard to manage. Being able to bookmark challenges would be really helpful.",e4e8081e-916c-4670-8ebc-74c3bcc9131c,a8389820-8769-46df-a1f2-20c60569f93d
a467283b-f797-40cf-852e-dd82a76c3c66,I'd love to see this! It always makes me so happy to see little details like these on websites.,43a6ebb9-a002-4d62-bfa0-9e3be6aee21d,7f4bca56-c6fc-47a7-b343-c55548037fa6
6b27cc52-5b4f-472a-a512-c149fb879f13,updated Awesome idea! Trying to find framework-specific projects within the hubs can be tedious,e4e8081e-916c-4670-8ebc-74c3bcc9131c,954ef564-3284-4fce-912e-b349e8c374df
4f6d8102-d303-49a8-9dc1-49f6126657b1,Awesome idea! Trying to find framework-specific projects within the hubs can be tedious,e4e8081e-916c-4670-8ebc-74c3bcc9131c,954ef564-3284-4fce-912e-b349e8c374df
